BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
3,3625,3438,59.95,32.57,3942,1273,-1,-1,50,50,0,50,51,1,1,1,2,FALSE,,796,2558,TRUE,TRUE,1,,740,1614,7603,53,51,51,Right,1.288502478,0.852652428,-1.27279965,-0.858586329,-1.381358503,0.544050086,5000,Free,"Incorrect, no change",3,14
3,2981,3832,38.47,45.95,2255,1647,1,1,52,52,1,52,50,2,0,1,3,TRUE,,882,2738,TRUE,TRUE,1,,644,1268,7744,141,50,50,Right,-0.7925023,-0.639461828,-0.199204498,-0.084353075,-0.641764291,0.065892252,5000,Free,"Correct, no change",5,14
3,3292,2739,43.98,44.17,1768,1668,-1,1,48,50,1,50,48,2,1,1,3,TRUE,,906,2463,FALSE,TRUE,1,,755,1680,7844,100,50,48,Left,-0.258687759,-0.256708125,-0.342029563,-0.187352716,-0.641764291,0.296803877,5000,Free,Incorrect to correct,4,12
3,1532,3442,36.13,45.57,1975,2097,1,1,50,50,1,47,50,3,0,1,2,FALSE,,908,1012,FALSE,FALSE,1,,766,1242,7984,140,47,47,Left,-1.019203937,-0.802010588,-0.229695242,-0.106341762,0.097829922,-1.009962875,3000,Free,"Correct, no change",4,6
3,3835,2480,35.58,41.25,1704,2004,-1,1,50,53,1,50,53,3,1,1,2,FALSE,,898,1444,TRUE,FALSE,1,,748,3149,8086,102,53,50,Left,-1.07248851,-0.840216493,-0.576326861,-0.356318418,0.097829922,0.699971119,5000,Free,Incorrect to correct,5,13
3,3152,1809,43.2,69.6,483,2807,1,1,54,54,1,54,50,4,0,2,3,TRUE,,791,627,TRUE,TRUE,1,,834,1514,8241,155,50,50,Left,-0.334254972,-0.310891044,1.698443138,1.284153386,0.837424135,0.192856522,3000,Free,"Correct, no change",3,6
3,2922,3680,50.45,30.3,1922,3569,1,-1,50,46,2,46,50,4,0,1,3,FALSE,,954,2987,FALSE,TRUE,1,,738,3227,8350,109,46,50,Left,0.368132581,0.192732249,-1.454941728,-0.989939803,0.837424135,0.022085867,7000,Free,Correct to incorrect,4,22
3,2701,2349,42.47,50.22,320,1831,-1,1,50,53,0,53,50,3,1,1,4,TRUE,,870,2536,FALSE,TRUE,1,,608,3050,8453,103,53,50,Left,-0.404978133,-0.3616007,0.143415181,0.162730333,0.097829922,-0.142002458,7000,Free,Incorrect to correct,5,16
3,3797,13523,43.1,36.7,2526,532,-1,1,46,50,0,46,50,4,1,1,4,FALSE,,819,3689,TRUE,FALSE,1,,612,2540,8549,96,50,46,Right,-0.343943076,-0.317837573,-0.941413404,-0.619604016,0.837424135,0.671756837,7000,Free,Incorrect to correct,4,20
3,1551,2393,57.02,64.67,4652,2388,1,1,50,50,1,45,50,5,0,1,2,FALSE,,872,1222,FALSE,FALSE,1,,796,1052,8709,160,45,45,Left,1.004641025,0.649119152,1.302865851,0.998879101,1.577018348,-0.995855734,3000,Free,"Correct, no change",4,6
3,5646,2838,57.47,63.82,2963,11249,1,1,50,50,2,45,50,5,0,1,6,FALSE,,450,2330,FALSE,FALSE,1,,1170,3122,8868,159,45,45,Left,1.048237494,0.680378528,1.23466287,0.949693879,1.577018348,2.044604408,7000,Free,"Correct, no change",4,16
3,3783,8819,20.77,32.83,335,477,1,1,50,50,1,50,46,4,0,1,2,TRUE,,766,902,TRUE,TRUE,1,,794,1579,8994,126,46,46,Right,-2.507296739,-1.868997318,-1.251937562,-0.843541437,0.837424135,0.661362102,3000,Free,"Correct, no change",4,7
3,5416,1874,50.87,35.3,1503,813,-1,1,46,50,1,46,50,4,1,1,1,FALSE,,698,1142,TRUE,FALSE,1,,784,1292,9085,91,50,46,Right,0.408822618,0.221907668,-1.053747724,-0.70061497,0.837424135,1.873833753,3000,Free,Incorrect to correct,4,7
