subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,Session,gaze_L_bin3,gaze_R_bin3,trial_og
2,187,1599.0,1,5.0,5.3,0.75,0.25,Free,0.75,0.25,112
2,188,1232.0,0,5.3,5.0,0.75,0.25,Free,0.75,0.25,113
2,189,1631.0,0,5.2,5.0,0.75,0.25,Free,0.75,0.25,117
2,190,1345.0,0,5.0,4.8,0.5,0.5,Free,0.5,0.5,118
2,191,2578.9999999999995,0,5.1,5.0,0.75,0.25,Free,0.75,0.25,119
2,192,1470.9999999999998,0,5.2,5.0,0.5,0.5,Free,0.5,0.5,120
2,193,1323.0000000000002,1,4.8,5.0,0.25,0.75,Free,0.25,0.75,121
2,194,1419.0,1,4.8,5.0,0.5,0.5,Free,0.5,0.5,123
2,195,1475.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,126
2,196,1328.0,0,5.2,5.0,0.5,0.5,Free,0.5,0.5,127
2,197,1490.9999999999998,1,5.1,5.0,0.75,0.25,Free,0.75,0.25,129
2,198,1404.0000000000002,0,5.0,4.8,0.5,0.5,Free,0.5,0.5,130
2,199,1323.0000000000002,1,4.8,5.0,0.75,0.25,Free,0.75,0.25,131
2,200,1773.0000000000002,1,5.0,5.3,0.25,0.75,Free,0.25,0.75,133
2,201,1314.0,0,5.2,5.0,0.75,0.25,Free,0.75,0.25,134
2,202,2861.0,0,5.0,4.8,0.75,0.25,Free,0.75,0.25,135
2,203,1550.0,1,5.0,4.7,0.5,0.5,Free,0.5,0.5,136
2,204,2223.0000000000005,1,5.0,5.4,0.5,0.5,Free,0.5,0.5,137
2,205,1656.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,139
2,206,1103.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,142
2,207,2987.0,0,4.7,5.0,0.5,0.5,Free,0.5,0.5,143
2,208,1418.0000000000002,0,5.0,4.8,0.75,0.25,Free,0.75,0.25,144
2,209,1315.9999999999998,0,5.0,4.8,0.5,0.5,Free,0.5,0.5,145
2,210,1526.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,149
2,211,1162.0,0,4.8,5.0,0.75,0.25,Free,0.75,0.25,154
2,212,2800.0,0,5.3,5.0,0.5,0.5,Free,0.5,0.5,155
2,213,2004.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,156
2,214,1459.0,1,4.8,5.0,0.25,0.75,Free,0.25,0.75,157
2,215,1960.0,0,5.0,4.8,0.75,0.25,Free,0.75,0.25,158
2,216,1818.0,1,4.9,5.0,0.25,0.75,Free,0.25,0.75,159
2,217,1958.0000000000002,0,5.0,5.1,0.5,0.5,Free,0.5,0.5,160
2,218,1679.0,0,5.0,4.8,0.75,0.25,Free,0.75,0.25,161
2,219,1355.9999999999998,1,5.1,5.0,0.25,0.75,Free,0.25,0.75,163
2,220,1841.0,0,5.0,4.8,0.5,0.5,Free,0.5,0.5,164
2,221,1436.0,1,5.0,5.3,0.25,0.75,Free,0.25,0.75,165
2,222,1837.0,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,166
2,223,1372.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,168
2,224,1736.0,0,5.1,5.0,0.75,0.25,Free,0.75,0.25,169
2,225,1774.0,1,5.2,5.0,0.5,0.5,Free,0.5,0.5,171
2,226,1548.0,0,5.4,5.0,0.5,0.5,Free,0.5,0.5,173
2,227,1678.0000000000002,0,5.4,5.0,0.75,0.25,Free,0.75,0.25,174
2,228,1531.9999999999998,0,5.3,5.0,0.5,0.5,Free,0.5,0.5,175
2,229,1216.0,1,5.3,5.0,0.5,0.5,Free,0.5,0.5,176
2,230,1473.0,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,179
2,231,1925.0,0,5.0,5.3,0.75,0.25,Free,0.75,0.25,180
2,232,1478.0000000000002,0,5.0,4.6,0.5,0.5,Free,0.5,0.5,181
2,233,1105.9999999999998,0,5.0,4.6,0.75,0.25,Free,0.75,0.25,182
2,234,2423.0,0,5.0,4.5,0.75,0.25,Free,0.75,0.25,183
2,235,1624.0,1,4.5,5.0,0.25,0.75,Free,0.25,0.75,184
2,236,1795.0,1,5.0,5.4,0.25,0.75,Free,0.25,0.75,185
2,237,1371.0,1,5.0,4.5,0.25,0.75,Free,0.25,0.75,186
2,238,1724.0,0,5.5,5.0,0.25,0.75,Free,0.25,0.75,190
2,239,1529.0000000000002,1,4.6,5.0,0.75,0.25,Free,0.75,0.25,192
2,240,1440.0,0,5.0,4.6,0.25,0.75,Free,0.25,0.75,193
2,241,4237.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,194
2,242,1811.9999999999998,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,195
2,243,2573.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,196
2,244,1878.0,0,5.0,5.3,0.5,0.5,Free,0.5,0.5,197
2,245,2025.9999999999998,0,5.4,5.0,0.5,0.5,Free,0.5,0.5,198
2,246,1855.0,0,5.0,4.5,0.75,0.25,Free,0.75,0.25,199
2,247,2296.0,0,5.0,4.5,0.75,0.25,Free,0.75,0.25,200
2,248,2051.0,0,5.0,4.6,0.75,0.25,Free,0.75,0.25,201
2,249,1460.0,1,5.0,5.4,0.25,0.75,Free,0.25,0.75,204
2,250,1982.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,207
2,251,1716.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,210
7,252,3370.0,0,5.0,4.2,0.75,0.25,Free,0.75,0.25,22
7,253,1863.0000000000002,0,5.7,5.0,0.75,0.25,Free,0.75,0.25,24
7,254,2350.0,1,4.3,5.0,0.75,0.25,Free,0.75,0.25,25
7,255,1736.0,0,5.0,4.2,0.5,0.5,Free,0.5,0.5,27
7,256,1791.9999999999998,1,4.3,5.0,0.25,0.75,Free,0.25,0.75,29
7,257,1791.0,0,5.7,5.0,0.25,0.75,Free,0.25,0.75,32
7,258,3154.0,1,5.0,5.7,0.25,0.75,Free,0.25,0.75,33
7,259,1511.9999999999998,1,5.0,4.4,0.75,0.25,Free,0.75,0.25,34
7,260,1791.9999999999998,1,4.3,5.0,0.25,0.75,Free,0.25,0.75,35
7,261,1071.0,1,4.3,5.0,0.25,0.75,Free,0.25,0.75,36
7,262,2756.0,1,5.0,5.6,0.25,0.75,Free,0.25,0.75,37
7,263,1394.0000000000002,1,4.5,5.0,0.25,0.75,Free,0.25,0.75,39
7,264,2421.9999999999995,0,5.0,5.5,0.75,0.25,Free,0.75,0.25,40
7,265,3015.0,0,5.6,5.0,0.25,0.75,Free,0.25,0.75,41
7,266,1821.9999999999998,1,4.5,5.0,0.75,0.25,Free,0.75,0.25,43
7,267,1540.0,1,4.5,5.0,0.5,0.5,Free,0.5,0.5,44
7,268,3037.0,1,4.7,5.0,0.75,0.25,Free,0.75,0.25,47
7,269,2670.0,1,5.0,4.7,0.25,0.75,Free,0.25,0.75,48
7,270,1559.0000000000002,1,4.6,5.0,0.5,0.5,Free,0.5,0.5,49
7,271,2491.0,0,5.0,4.6,0.25,0.75,Free,0.25,0.75,50
7,272,2145.0,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,51
7,273,1815.9999999999998,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,54
7,274,1519.0000000000002,0,5.0,4.6,0.5,0.5,Free,0.5,0.5,55
7,275,1968.0000000000002,1,5.0,5.4,0.25,0.75,Free,0.25,0.75,56
7,276,2516.0,1,4.5,5.0,0.25,0.75,Free,0.25,0.75,57
7,277,1704.0,0,5.5,5.0,0.25,0.75,Free,0.25,0.75,60
7,278,2110.0,0,5.6,5.0,0.75,0.25,Free,0.75,0.25,61
7,279,1695.0,0,5.8,5.0,0.5,0.5,Free,0.5,0.5,63
7,280,1863.0000000000002,1,4.2,5.0,0.25,0.75,Free,0.25,0.75,64
7,281,1804.0,0,5.7,5.0,0.75,0.25,Free,0.75,0.25,65
7,282,1769.0000000000002,1,4.2,5.0,0.25,0.75,Free,0.25,0.75,66
7,283,1698.0000000000002,1,4.3,5.0,0.5,0.5,Free,0.5,0.5,68
7,284,1706.0,0,5.7,5.0,0.75,0.25,Free,0.75,0.25,69
7,285,1584.0,0,5.0,4.4,0.5,0.5,Free,0.5,0.5,70
7,286,1446.9999999999998,0,5.0,4.4,0.25,0.75,Free,0.25,0.75,71
7,287,1500.0,0,5.0,4.4,0.25,0.75,Free,0.25,0.75,73
7,288,2273.0,1,4.4,5.0,0.25,0.75,Free,0.25,0.75,74
7,289,2122.0,1,5.5,5.0,0.5,0.5,Free,0.5,0.5,75
7,290,1693.0,1,5.0,5.5,0.75,0.25,Free,0.75,0.25,76
7,291,2728.9999999999995,1,5.4,5.0,0.75,0.25,Free,0.75,0.25,77
7,292,1870.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,80
7,293,2222.0,0,5.0,4.6,0.5,0.5,Free,0.5,0.5,83
7,294,1310.0,1,5.0,5.5,0.75,0.25,Free,0.75,0.25,85
7,295,1912.0,0,5.0,4.6,0.25,0.75,Free,0.25,0.75,86
7,296,1983.0,0,5.0,4.5,0.75,0.25,Free,0.75,0.25,88
